Designator,Mid X,Mid Y,Rotation,Layer
D1,30.0,-4.0,0.0,top
D10,38.0,-37.0,0.0,top
D11,46.0,-37.0,0.0,top
D12,54.0,-37.0,0.0,top
D13,62.0,-37.0,0.0,top
D14,70.0,-37.0,0.0,top
D15,78.0,-37.0,0.0,top
D16,86.0,-37.0,0.0,top
D18,13.46,-15.5,0.0,top
D19,13.46,-25.5,0.0,top
D2,38.0,-4.0,0.0,top
D3,46.0,-4.0,0.0,top
D4,54.0,-4.0,0.0,top
D5,62.0,-4.0,0.0,top
D6,70.0,-4.0,0.0,top
D7,78.0,-4.0,0.0,top
D8,86.0,-4.0,0.0,top
D9,30.0,-37.0,0.0,top
J1,64.0,-13.0,270.0,bottom
J2,82.4,-47.8,0.0,top
