Designator,Footprint,Quantity,Value,LCSC Part #
BT1,CR1220_Holder,1,CR1220 (3V),C70381
"C1, C2, C3",0603,3,10nF,C57112
C10,0805,1,220nF,C5378
C11,0603,1,47nF,C1622
"C12, C13, C14, C18, C19, C20, C21",0603,7,100nF,C14663
"C15, C16, C17, C22",CP_Elec_6.3x7.7,4,100uF,C134220
C23,0603,1,2.2µF,C23630
C4,0603,1,4.7nF,C53987
C5,0603,1,33pF,C1663
"C6, C7",1206,2,47uF,C96123
"C8, C9",0603,2,10pF,C1634
D1,D_SMA,1,B340,C85098
"D12, D13, D14, D15, D16, D17, D18, D19, D2",D_SMA,9,SS14,C2480
D3,D_SMA,1,SMAJ40CA,C223989
"F1, F2, F3, F4",0805,4,500mA,C2833485
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9","PhoenixContact_MSTBA_2,5_4-G-5,08_1x04_P5.08mm_Horizontal",12,WJ2EDGRC-5.08-4P,C8446
J17,PinSocket_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
J99,PinSocket_2x20_P2.54mm_Vertical,1,Rpi GPIO,
JP1,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,1-Wire Pullup,
JP2,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Auto_DE/NRE_2,
JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,Auto_DE/NRE_1,
JP4,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,1,GPIO23_DE/NRE,
"K1, K2, K3, K4, K5, K6, K7, K8",Relay_SPST_Omron_G2RL-1A-E_GroundMod,8,G5RL-1A-E-TV8 DC24 ,C2896748
L1,Sunltech_SLO0630H,1,6.8uH,C207841
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",SOT-23-3,8,AO3400A,C20917
Q9,SOT-23,1,SS8550 Y2,C8542
R1,0603,1,47K,C25819
"R10, R11, R12, R13, R14, R15, R4, R6, R7, R8, R9",1206,11,4K7,C17936
"R16, R17, R18, R19, R20, R21, R22, R23, R25, R27, R30, R33, R36, R39, R42, R48, R55",0603,17,1K2,C22765
"R2, R24, R29, R32, R35, R38, R41, R44, R47, R49, R50, R52, R53",0603,13,10K,C25804
"R26, R28, R31, R34, R37, R40, R43, R46",0603,8,100R,C22775
R3,0603,1,1.8k,C4177
R45,0603,1,1.5k,C22843
R5,2512,1,27R,C25478
R51,0603,1,120R,C22787
R54,0603,1,7K5,C23234
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TPS54331D,C9865
"U10, U11, U4, U5, U6, U7, U8, U9",Optocoupler_DIP_S1,8,EL817C,C106900
U12,SOIC-16W_7.5x10.3mm_P1.27mm,1,ISO3082DWR,C21710
U13,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,C2651516
U2,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,1,NCN5121,C891972
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,ISO1540,C179739
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,C32346
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
