Designator,Mid X,Mid Y,Rotation,Layer
C1,14.732,-71.882,90.0,top
C10,62.717,-15.762,90.0,top
C11,62.717,-19.318,90.0,top
C12,64.495,-19.318,270.0,top
C13,52.557,-23.153,270.0,top
C14,62.209,-23.153,270.0,top
C15,69.067,-17.286,270.0,top
C16,23.114,-69.596,0.0,top
C17,44.818,-50.259,270.0,top
C18,46.482,-69.088,90.0,top
C19,32.258,-69.088,90.0,top
C2,7.049,-74.93,0.0,top
C20,42.958,-19.334,90.0,top
C21,42.958,-15.778,270.0,top
C3,12.954,-71.849,90.0,top
C4,14.732,-67.785,270.0,top
C5,12.954,-67.785,270.0,top
C6,4.826,-69.85,270.0,top
C7,2.286,-69.85,270.0,top
C8,60.431,-23.153,270.0,top
C9,54.335,-23.153,90.0,top
D1,13.208,-61.976,90.0,top
D12,53.318,-42.509,0.0,top
D13,66.818,-42.509,0.0,top
D14,80.318,-42.509,0.0,top
D15,93.818,-42.509,0.0,top
D16,107.318,-42.509,0.0,top
D17,120.818,-42.509,0.0,top
D18,134.318,-42.509,0.0,top
D19,147.818,-42.509,0.0,top
D2,114.3,-38.1,0.0,top
D3,114.3,-34.544,0.0,top
F1,48.768,-11.938,180.0,top
F2,74.846,-11.97,180.0,top
F3,36.238,-73.184,180.0,top
J1,12.87,-76.93,0.0,top
J10,98.214,-8.16,180.0,top
J11,121.582,-8.16,180.0,top
J12,144.95,-8.16,180.0,top
J17,124.0,-35.0,90.0,top
J2,36.238,-76.93,0.0,top
J3,59.606,-76.93,0.0,top
J4,82.974,-76.93,0.0,top
J5,106.342,-76.93,0.0,top
J6,129.71,-76.93,0.0,top
J7,28.11,-8.16,180.0,top
J8,51.478,-8.16,180.0,top
J9,74.846,-8.16,180.0,top
J99,4.8,-8.37,0.0,top
K1,51.318,-47.009,0.0,top
K2,64.818,-47.009,0.0,top
K3,78.318,-47.009,0.0,top
K4,91.818,-47.009,0.0,top
K5,105.318,-47.009,0.0,top
K6,118.818,-47.009,0.0,top
K7,132.318,-47.009,0.0,top
K8,145.818,-47.009,0.0,top
L1,6.604,-61.976,0.0,top
Q1,59.068,-42.509,180.0,top
Q2,72.568,-42.509,180.0,top
Q3,86.068,-42.509,180.0,top
Q4,99.568,-42.509,180.0,top
Q5,113.068,-42.509,180.0,top
Q6,126.568,-42.509,180.0,top
Q7,140.068,-42.509,180.0,top
Q8,153.568,-42.509,180.0,top
R1,16.51,-67.785,270.0,top
R10,148.844,-11.807,0.0,top
R11,154.686,-11.807,0.0,top
R12,113.792,-11.807,0.0,top
R13,119.634,-11.807,0.0,top
R14,125.476,-11.807,0.0,top
R15,131.318,-11.807,0.0,top
R16,137.16,-25.654,0.0,top
R17,143.002,-25.654,0.0,top
R18,148.844,-25.654,0.0,top
R19,154.686,-25.654,0.0,top
R2,2.985,-74.93,0.0,top
R20,113.792,-25.654,0.0,top
R21,119.634,-25.654,0.0,top
R22,125.476,-25.654,0.0,top
R23,131.318,-25.654,0.0,top
R24,62.068,-42.509,90.0,top
R25,100.647,-23.876,180.0,top
R26,85.598,-37.084,90.0,top
R27,100.647,-25.654,180.0,top
R28,87.376,-37.084,90.0,top
R29,75.568,-42.509,90.0,top
R3,2.985,-76.708,0.0,top
R30,100.647,-27.432,180.0,top
R31,89.154,-37.084,90.0,top
R32,89.068,-42.509,90.0,top
R33,100.647,-29.21,180.0,top
R34,90.932,-37.084,90.0,top
R35,102.568,-42.509,90.0,top
R36,100.647,-30.988,180.0,top
R37,92.71,-37.084,90.0,top
R38,116.068,-42.509,90.0,top
R39,100.647,-32.766,180.0,top
R4,7.049,-76.708,0.0,top
R40,94.488,-37.084,90.0,top
R41,129.568,-42.509,90.0,top
R42,100.647,-34.544,180.0,top
R43,96.266,-37.084,90.0,top
R44,143.068,-42.509,90.0,top
R45,48.768,-13.97,0.0,top
R46,98.044,-37.084,90.0,top
R47,156.568,-42.509,90.0,top
R48,100.647,-22.098,180.0,top
R49,120.904,-36.449,270.0,top
R5,106.4675,-36.449,0.0,top
R50,119.253,-36.449,90.0,top
R51,43.942,-72.898,0.0,top
R6,41.402,-11.938,180.0,top
R7,36.322,-11.938,0.0,top
R8,137.16,-11.807,0.0,top
R9,143.002,-11.807,0.0,top
U1,9.144,-69.85,90.0,top
U10,148.844,-18.919,270.0,top
U11,154.686,-18.919,270.0,top
U12,39.37,-65.278,180.0,top
U2,57.203,-17.212,180.0,top
U3,38.989,-17.526,270.0,top
U4,113.792,-18.919,270.0,top
U5,119.634,-18.919,270.0,top
U6,125.476,-18.919,270.0,top
U7,131.318,-18.919,270.0,top
U8,137.16,-18.919,270.0,top
U9,143.002,-18.919,270.0,top
Y2,57.383,-23.153,180.0,top
